sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM
184_Legionella_pneumophila_ssp_pneumophila_DSM7513_DDA100_4402	1657	11637	1.5142485985995502	0.05531491790588998	66.75103305785125	28.383264462809915	88.55888429752066	14368	5.8630004	0.018000001
185_Prevotella_melaninogenica_DSM26980_DDA100_5282	1064	7261	1.3545577044968509	0.09464384904419652	77.09075119409466	20.807642205818496	90.51671732522797	8407	5.8630004	0.020000001
191_Salmonella_bongori_DSM13772_DDA100_5300	1636	9999	1.4292571073765643	0.0	68.1920740526468	27.613537749493783	88.25571304599363	12283	5.8630004	0.020000001
193_Salmonella_enterica_sv_enteritidis_DSM107295_DDA100_5290	1650	9955	1.5018587003275254	0.0	69.00283581225766	26.847618496440766	88.18218646912437	12249	5.8630004	0.020000001
195_Salmonella_enterica_sv_paratyphi_167_DDA100_5298	1452	8913	1.4397558044861158	0.07365388872225939	73.43523520885492	22.94768744235077	89.3661879035446	10740	5.8630004	0.020000001
198_Acinetobacter_baumannii_DSM30007_DDA100_6502	1681	12019	1.3537376951589153	0.0	75.85140914008966	20.78417229120511	86.5680869699624	14282	5.8630004	0.020000001
199_Salmonella_enterica_sv_typhimurium_DSM17058_DDA100_5286	1543	9488	1.4051465512826158	0.0	74.0387080235837	22.79543706741861	89.93206870033325	11296	5.8630004	0.020000001
200_Leuconostoc_pseudomesenteroides_DSM20193_DDA100_4458	890	5664	1.3896402387693298	0.1883663493657248	69.40562881322575	26.81558748277898	88.79157646132651	6851	5.8630004	0.020000001
203_Serratia_ureilytica_RS2.1_DDA100_5276	1680	9231	1.482857310627177	0.0	70.01993355481727	26.205980066445182	89.80730897009967	11230	5.8630004	0.020000001
205_Serratia_bockelmannii_Wasserisolat04_DDA100_5294	1739	9540	1.4615324107366268	0.0	70.0839063781465	26.421045990789228	89.64103211153869	11590	5.8630004	0.020000001
206_Listeria_monocytogenes_DSM15675_DDA100_5316	1402	8724	1.498768425807345	0.06494109517961734	70.65406135442794	25.815164962377	88.58447488584474	10766	5.8630004	0.020000001
208_Listeria_monocytogenes_DSM19094_DDA100_5314	1367	8596	1.502613894866679	0.08270270795544228	69.84335059317036	26.1519302615193	86.43901160123222	10651	5.8630004	0.020000001
209_Staphylococcus_haemolyticus_DSM20228_DDA100_5434	1080	7603	1.2598804373464956	0.0	65.539671734362	30.08849557522124	85.17510021934801	9335	5.8630004	0.018000001
210_Micrococcus_luteus_DSM20030_DDA100_4273	1350	9717	1.416552516143074	0.0	64.53774535966316	29.959082013876536	86.97740615548835	12199	5.8630004	0.020000001
212_Micrococcus_luteus_DSM14234_DDA100_4436	1164	7768	1.4877042274411219	0.050864507114644825	64.25206124852768	30.690518256772677	88.64104829210837	9717	5.8630004	0.020000001
213_Staphylococcus_saprophyticus_ssp_bovis_DSM18669_DDA100_5274	816	4307	1.1149131507741092	0.07951368792356445	73.5342384007161	21.67686110696703	89.18394748620021	4959	5.8630004	0.020000001
214_Moraxella_catarrhalis_DSM9143_DDA100_4366	1046	8272	1.4880639907197717	0.11242703204552666	69.03553299492386	26.257498846331334	88.96433515722856	10386	5.8630004	0.020000001
215_Staphylococcus_saprophyticus_DSM30626_DDA100_5280	866	4963	1.1323188627337748	0.12370080140801201	71.58277896322329	23.634994351700765	87.54863813229572	5785	5.8630004	0.020000001
216_Moraxella_catarrhalis_DSM11994_DDA100_4362	966	6787	1.4091352723207882	0.19951368791893967	71.62232655190401	23.961050252130065	88.48026430186054	8197	5.8630004	0.020000001
