sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM	MS1_TIC_median	MS1_TIC_CV	MS2_precursor_events	MS1_frames	MS2_frames	Gradient_min	Total.Protein.Number.Ref	MS1_TIC_CV_pct	Protein.Identification.Rate
032_Bacillus_sp._RJGP41_DDA100_5390	1376	9147	1.413981899543284	0.0811925101208493	73.99165507649514	22.173653884363205	89.3237962778992	10791	5.8630004	0.020000001	3415648.0	1.0578481072681312	37384	982	5385	11.498461266666668	5072	105.78481072681312	27.129337539432175
034_Bacillus_subtilis_ssp_subtilis_SYST2_DDA100_5364	1646	10265	1.5288241759419214	0.0	69.81597845601436	26.29039497307002	87.13532315978456	12618	5.8630004	0.020000001	597289.0	1.0981828750546645	39457	1031	5322	11.497027833333334	4260	109.81828750546644	38.63849765258216
036_Bacillus_subtilis_ssp_subtilis_NMSX4_DDA100_5370	1685	10401	1.530269701175376	0.0	70.34637975517374	25.800076851292747	87.14936597683483	12784	5.8630004	0.020000001	584404.5	1.096031291675979	39938	1030	5324	11.497124216666666	4260	109.60312916759788	39.55399061032864
038_Bacillus_subtilis_DSM10_DDA100_5352	1665	10905	1.5344304228662726	0.0	71.08816093808832	25.254155236404717	87.10666451508796	13274	5.8630004	0.020000001	937114.0	1.0845653491357727	40032	1023	5334	11.498025533333331	4390	108.45653491357727	37.92710706150342
040_Bacillus_thuringiensis_GBAC46_DDA100_5384	1353	7364	1.4801845632576267	0.1382455192867557	70.26022304832715	26.14622057001239	88.22026022304833	9014	5.8630004	0.020000001	3071468.0	1.0599993232450982	38930	987	5379	11.49830315	6099	105.99993232450981	22.18396458435809
042_Bacillus_thuringiensis_NMTD81_DDA100_5376	1520	7852	1.4935788052471923	0.0690758933124719	70.2631972483924	25.684163301929114	87.29624644833258	9550	5.8630004	0.020000001	593650.0	1.1031242873669478	38550	1031	5324	11.497187266666666	6099	110.31242873669478	24.922118380062305
043_Burkholderia_cenocepacia_ATCC25608_DDA100_6494	1643	7480	1.377652380796628	0.0	75.05296161342258	22.311668502669267	87.61969324633505	8864	5.8630004	0.020000001	2063448.0	1.0523682139770454	39241	994	5386	11.498008566666666	7409	105.23682139770455	22.17573221757322
044_Bacillus_velezensis_GBSW11_DDA100_5380	1281	7922	1.456552584006215	0.0935472728280486	71.40812175092293	25.299480147668195	88.64612370978678	9557	5.8630004	0.020000001	624476.0	1.0992241633633475	38774	1027	5333	11.498418816666666	3790	109.92241633633475	33.79947229551451
045_Burkholderia_cepacia_DSM50181_DDA100_5284	1621	6553	1.4560639078798374	0.0	73.10365369340747	24.53335980937252	89.99205718824463	7703	5.8630004	0.018000001	3230531.0	1.0600379199739272	38046	969	5402	11.497961966666669	7409	106.00379199739271	21.878796058847346
046_Bacillus_velezensis_DSM23117_DDA100_5338	1242	7863	1.3997201959328331	0.0823693035963673	71.02037747199037	25.15226708775096	87.45018422437776	9572	5.8630004	0.020000001	2469626.5	1.075803727131443	38479	998	5365	11.498143516666666	3790	107.58037271314429	32.770448548812666
048_Bacillus_wiedmannii_GBSC29_DDA100_5368	1618	9678	1.4836754228019735	0.069097197438401	69.46263198253997	26.44369728071728	87.4004600955583	11925	5.8630004	0.020000001	2320880.0	1.0778881952827988	38528	1000	5360	11.497109733333334	5753	107.78881952827987	28.124456805145144
